Timestamp                       Thread     Type        Activity             PID    TTL  
2024-10-28 10:46:45.862990-0400 0x12ab5cc  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] registered <private> (status 0, old id 0x79dcc) as unit 0x79dd0 on behalf of pid 91574
2024-10-28 10:46:45.895144-0400 0x12abb5e  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] (null)/Unknown Persona:5:4:1:0:_LSServerRegisterItemInfo begin
2024-10-28 10:46:45.899711-0400 0x12abb5e  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:1:1:Building bundle record for app
2024-10-28 10:46:45.899843-0400 0x12abb5e  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:2:1:Built bundle record for app
2024-10-28 10:46:45.900481-0400 0x12abb5e  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:registration] bundle record for <private> will be registered trusted.
2024-10-28 10:46:45.900881-0400 0x12abb5e  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:4:2:1:_LSServerRegisterItemInfo result = 0
2024-10-28 10:46:45.900915-0400 0x12abb5e  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] registered <private> (status 0, old id 0x79dcc) as unit 0x79dd4 on behalf of pid 91574
2024-10-28 10:46:45.985412-0400 0x12abbbc  Default     0x0                  1589   2    coreauthd: (LaunchServices) [com.apple.launchservices:db] NotifyToken::RegisterDispatch(com.apple.LaunchServices.database) fired for session key <private>
2024-10-28 10:46:47.561604-0400 0x12ab88e  Default     0x0                  1278   2    symptomsd: (LaunchServices) [com.apple.launchservices:db] NotifyToken::RegisterDispatch(com.apple.LaunchServices.database) fired for session key <private>
2024-10-28 10:46:47.613500-0400 0x12abb5c  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] client 34900 will unregister unit 79dd4 options 0
2024-10-28 10:46:47.687636-0400 0x12abb59  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] (null)/Unknown Persona:5:4:1:0:_LSServerRegisterItemInfo begin
2024-10-28 10:46:47.695540-0400 0x12abb59  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:1:1:Building bundle record for app
2024-10-28 10:46:47.695690-0400 0x12abb59  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:2:1:Built bundle record for app
2024-10-28 10:46:47.696046-0400 0x12abb59  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:registration] bundle record for <private> will be registered launch-disabled.
2024-10-28 10:46:47.696511-0400 0x12abb59  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:4:2:1:_LSServerRegisterItemInfo result = 0
2024-10-28 10:46:47.696521-0400 0x12abb59  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] registered <private> (status 0, old id 0x0) as unit 0x79dd8 on behalf of pid 34900
2024-10-28 10:46:47.743499-0400 0x12abb5c  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] (null)/Unknown Persona:5:4:1:0:_LSServerRegisterItemInfo begin
2024-10-28 10:46:47.749600-0400 0x12abb5c  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:1:1:Building bundle record for app
2024-10-28 10:46:47.749747-0400 0x12abb5c  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:5:2:1:Built bundle record for app
2024-10-28 10:46:47.750011-0400 0x12abb5c  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:registration] bundle record for <private> will be registered launch-disabled.
2024-10-28 10:46:47.750372-0400 0x12abb5c  Default     0x0                  1527   14   lsd: (MobileInstallation) [com.apple.appinstallation:TransactionLog] company.thebrowser.Browser/Unknown Persona:5:4:2:1:_LSServerRegisterItemInfo result = 0
2024-10-28 10:46:47.750381-0400 0x12abb5c  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] registered <private> (status 0, old id 0x79dd8) as unit 0x79ddc on behalf of pid 34900
2024-10-28 10:46:56.529149-0400 0x12abb5e  Default     0x0                  1527   2    lsd: (CoreServicesStore) [com.apple.coreservicesstore:GC] Writing store (no GC) 0x11d98a988 with writer 0x16d3022d0
2024-10-28 10:46:56.552483-0400 0x12abb5e  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:db] _LSSessionSave: saved database for session <private>
2024-10-28 10:46:58.724574-0400 0x12abb5e  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] LSExceptions shared instance invalidated for timeout.
2024-10-28 10:48:20.659558-0400 0x12aca66  Default     0x0                  1742   3    seserviced: (Accounts) [com.apple.accounts:core] "The connection to ACDAccountStore was invalidated."
2024-10-28 10:51:47.744189-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52197 registering self
2024-10-28 10:51:55.127219-0400 0x12aeaa7  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52227 registering self
2024-10-28 10:51:55.147455-0400 0x12aeaa6  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52231 registering self
2024-10-28 10:51:55.147590-0400 0x12aeaa6  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] Failed to register <private>: -10811
2024-10-28 10:51:55.199408-0400 0x12aedb5  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52228 registering self
2024-10-28 10:51:55.365698-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52233 registering self
2024-10-28 10:51:55.471723-0400 0x12aeaa6  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52229 registering self
2024-10-28 10:51:55.540890-0400 0x12aeaa7  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52236 registering self
2024-10-28 10:51:55.602288-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52238 registering self
2024-10-28 10:51:55.833423-0400 0x12aee0c  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] client 52247 will unregister unit 79c30 options 0
2024-10-28 10:51:55.850599-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] client 52247 will unregister unit 79db4 options 0
2024-10-28 10:51:55.912860-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] pid 52249 registering self
2024-10-28 10:51:55.912942-0400 0x12ae2c3  Default     0x0                  1527   2    lsd: (LaunchServices) [com.apple.launchservices:default] Failed to register <private>: -10811
2024-10-28 10:51:56.365561-0400 0x21f7     Default     0x0                  1694   3    nearbyd: (CoreUtils) [com.apple.sharing:SFDeviceDiscovery] ### Interrupted
2024-10-28 10:51:56.365592-0400 0x21f7     Default     0x2943f5c            1694   3    nearbyd: (CoreUtils) [com.apple.sharing:SFDeviceDiscovery] Restarting after interruption
